id,column,category,subcategory,label,pronunciation,subject_mode,parent_photo_behavior,phase,core,growth_stage,meal_context,is_gestalt,gestalt_type,gestalt_meaning,gestalt_target_words,descriptive_clues,audience,authoring_kind,status,prompt_template,notes
nouns.animals.farm.pony,Nouns,Animals,Farm,Pony,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Pony lives on a farm. | Farm animals live with the farmer and give us things like milk and eggs. | You can say 'look, a Pony!' or 'I see a Pony.'",universal,canonical,draft,"A {style} of a single friendly Pony, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Pony"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.farm.chick,Nouns,Animals,Farm,Chick,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Chick lives on a farm. | Farm animals live with the farmer and give us things like milk and eggs. | You can say 'look, a Chick!' or 'I see a Chick.'",universal,canonical,draft,"A {style} of a single friendly Chick, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Chick"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.farm.goose,Nouns,Animals,Farm,Goose,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Goose lives on a farm. | Farm animals live with the farmer and give us things like milk and eggs. | You can say 'look, a Goose!' or 'I see a Goose.'",universal,canonical,draft,"A {style} of a single friendly Goose, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Goose"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.farm.peacock,Nouns,Animals,Farm,Peacock,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Peacock lives on a farm. | Farm animals live with the farmer and give us things like milk and eggs. | You can say 'look, a Peacock!' or 'I see a Peacock.'",universal,canonical,draft,"A {style} of a single friendly Peacock, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Peacock"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.allosaurus,Nouns,Animals,Dinosaurs,Allosaurus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Allosaurus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Allosaurus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Allosaurus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Allosaurus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.ankylosaurus,Nouns,Animals,Dinosaurs,Ankylosaurus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Ankylosaurus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Ankylosaurus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Ankylosaurus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Ankylosaurus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.dilophosaurus,Nouns,Animals,Dinosaurs,Dilophosaurus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Dilophosaurus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Dilophosaurus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Dilophosaurus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Dilophosaurus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.brachiosaurus,Nouns,Animals,Dinosaurs,Brachiosaurus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Brachiosaurus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Brachiosaurus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Brachiosaurus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Brachiosaurus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.spinosaurus,Nouns,Animals,Dinosaurs,Spinosaurus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Spinosaurus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Spinosaurus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Spinosaurus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Spinosaurus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.corythosaurus,Nouns,Animals,Dinosaurs,Corythosaurus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Corythosaurus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Corythosaurus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Corythosaurus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Corythosaurus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.styracosaurus,Nouns,Animals,Dinosaurs,Styracosaurus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Styracosaurus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Styracosaurus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Styracosaurus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Styracosaurus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.therizinosaurus,Nouns,Animals,Dinosaurs,Therizinosaurus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Therizinosaurus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Therizinosaurus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Therizinosaurus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Therizinosaurus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.parasaurolophus,Nouns,Animals,Dinosaurs,Parasaurolophus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Parasaurolophus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Parasaurolophus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Parasaurolophus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Parasaurolophus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.pachycephalosaurus,Nouns,Animals,Dinosaurs,Pachycephalosaurus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Pachycephalosaurus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Pachycephalosaurus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Pachycephalosaurus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Pachycephalosaurus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.kentrosaurus,Nouns,Animals,Dinosaurs,Kentrosaurus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Kentrosaurus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Kentrosaurus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Kentrosaurus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Kentrosaurus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.iguanodon,Nouns,Animals,Dinosaurs,Iguanodon,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Iguanodon is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Iguanodon!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Iguanodon, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Iguanodon"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.giganotosaurus,Nouns,Animals,Dinosaurs,Giganotosaurus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Giganotosaurus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Giganotosaurus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Giganotosaurus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Giganotosaurus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.deinonychus,Nouns,Animals,Dinosaurs,Deinonychus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Deinonychus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Deinonychus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Deinonychus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Deinonychus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.carnotaurus,Nouns,Animals,Dinosaurs,Carnotaurus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Carnotaurus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Carnotaurus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Carnotaurus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Carnotaurus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.bugs.grasshopper,Nouns,Animals,Bugs,Grasshopper,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Grasshopper is a little bug. | Bugs are tiny creatures that crawl, fly, or hop. | You can say 'look, a Grasshopper!' or 'I see a bug.'",universal,canonical,draft,"A {style} of a single friendly Grasshopper, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Grasshopper"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.bugs.pill_bug,Nouns,Animals,Bugs,Pill bug,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Pill bug is a little bug. | Bugs are tiny creatures that crawl, fly, or hop. | You can say 'look, a Pill bug!' or 'I see a bug.'",universal,canonical,draft,"A {style} of a single friendly Pill bug, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Pill bug"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.bugs.moth,Nouns,Animals,Bugs,Moth,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Moth is a little bug. | Bugs are tiny creatures that crawl, fly, or hop. | You can say 'look, a Moth!' or 'I see a bug.'",universal,canonical,draft,"A {style} of a single friendly Moth, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Moth"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.bugs.worm,Nouns,Animals,Bugs,Worm,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Worm is a little bug. | Bugs are tiny creatures that crawl, fly, or hop. | You can say 'look, a Worm!' or 'I see a bug.'",universal,canonical,draft,"A {style} of a single friendly Worm, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Worm"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.bugs.fly,Nouns,Animals,Bugs,Fly,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Fly is a little bug. | Bugs are tiny creatures that crawl, fly, or hop. | You can say 'look, a Fly!' or 'I see a bug.'",universal,canonical,draft,"A {style} of a single friendly Fly, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Fly"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.bugs.firefly,Nouns,Animals,Bugs,Firefly,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Firefly is a little bug. | Bugs are tiny creatures that crawl, fly, or hop. | You can say 'look, a Firefly!' or 'I see a bug.'",universal,canonical,draft,"A {style} of a single friendly Firefly, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Firefly"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.bugs.mosquito,Nouns,Animals,Bugs,Mosquito,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Mosquito is a little bug. | Bugs are tiny creatures that crawl, fly, or hop. | You can say 'look, a Mosquito!' or 'I see a bug.'",universal,canonical,draft,"A {style} of a single friendly Mosquito, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Mosquito"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.bugs.daddy_long_legs,Nouns,Animals,Bugs,Daddy long legs,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Daddy long legs is a little bug. | Bugs are tiny creatures that crawl, fly, or hop. | You can say 'look, a Daddy long legs!' or 'I see a bug.'",universal,canonical,draft,"A {style} of a single friendly Daddy long legs, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Daddy long legs"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.bugs.centipede,Nouns,Animals,Bugs,Centipede,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Centipede is a little bug. | Bugs are tiny creatures that crawl, fly, or hop. | You can say 'look, a Centipede!' or 'I see a bug.'",universal,canonical,draft,"A {style} of a single friendly Centipede, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Centipede"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.bugs.beetle,Nouns,Animals,Bugs,Beetle,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Beetle is a little bug. | Bugs are tiny creatures that crawl, fly, or hop. | You can say 'look, a Beetle!' or 'I see a bug.'",universal,canonical,draft,"A {style} of a single friendly Beetle, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Beetle"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.bugs.praying_mantis,Nouns,Animals,Bugs,Praying mantis,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Praying mantis is a little bug. | Bugs are tiny creatures that crawl, fly, or hop. | You can say 'look, a Praying mantis!' or 'I see a bug.'",universal,canonical,draft,"A {style} of a single friendly Praying mantis, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Praying mantis"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.fish.pufferfish,Nouns,Animals,Fish,Pufferfish,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Pufferfish is an animal that lives in the water. | It swims using fins and a tail. | You can say 'look, a Pufferfish!' or 'I see a Pufferfish.'",universal,canonical,draft,"A {style} of a single friendly Pufferfish, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Pufferfish"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.fish.guppy,Nouns,Animals,Fish,Guppy,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Guppy is an animal that lives in the water. | It swims using fins and a tail. | You can say 'look, a Guppy!' or 'I see a Guppy.'",universal,canonical,draft,"A {style} of a single friendly Guppy, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Guppy"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.fish.salmon,Nouns,Animals,Fish,Salmon,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Salmon is an animal that lives in the water. | It swims using fins and a tail. | You can say 'look, a Salmon!' or 'I see a Salmon.'",universal,canonical,draft,"A {style} of a single friendly Salmon, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Salmon"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.fish.goldfish,Nouns,Animals,Fish,Goldfish,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Goldfish is an animal that lives in the water. | It swims using fins and a tail. | You can say 'look, a Goldfish!' or 'I see a Goldfish.'",universal,canonical,draft,"A {style} of a single friendly Goldfish, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Goldfish"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
